utc,err_arcsec,err_arcmin,sun_moon_elong_deg,moon_dist_au
2021-12-05 13:39,3.10701,0.05178,17.72,0.002394
2068-02-03 14:51,3.10497,0.05175,0.65,0.002393
2021-12-05 13:46,3.10481,0.05175,17.80,0.002394
2021-12-05 13:54,3.10259,0.05171,17.87,0.002394
2021-12-05 14:02,3.10035,0.05167,17.95,0.002394
2021-12-05 14:09,3.09808,0.05163,18.02,0.002394
2068-02-03 15:05,3.09737,0.05162,0.80,0.002392
2021-12-05 14:17,3.09580,0.05160,18.09,0.002394
2021-12-05 14:24,3.09349,0.05156,18.17,0.002394
2021-12-05 14:32,3.09117,0.05152,18.24,0.002394
2068-02-03 15:20,3.08951,0.05149,0.94,0.002392
2021-12-05 14:39,3.08882,0.05148,18.31,0.002395
2021-12-05 14:47,3.08645,0.05144,18.39,0.002395
2021-12-05 14:54,3.08407,0.05140,18.46,0.002395
2021-12-05 15:01,3.08166,0.05136,18.53,0.002395
2068-02-03 15:34,3.08140,0.05136,1.09,0.002392
2021-12-05 15:09,3.07924,0.05132,18.60,0.002395
2021-12-05 15:16,3.07679,0.05128,18.67,0.002395
2021-12-05 15:23,3.07433,0.05124,18.74,0.002395
2068-02-03 15:50,3.07300,0.05122,1.24,0.002392
2021-12-05 15:30,3.07185,0.05120,18.82,0.002395
2021-12-05 15:37,3.06935,0.05116,18.89,0.002395
2021-12-05 15:45,3.06683,0.05111,18.96,0.002395
2068-02-03 16:05,3.06431,0.05107,1.39,0.002392
2021-12-05 15:52,3.06429,0.05107,19.03,0.002395
2021-12-05 15:59,3.06174,0.05103,19.10,0.002395
2021-12-05 16:06,3.05916,0.05099,19.17,0.002396
2021-12-05 16:13,3.05658,0.05094,19.23,0.002396
2068-02-03 16:21,3.05531,0.05092,1.54,0.002392
2021-12-05 16:20,3.05397,0.05090,19.30,0.002396
2021-12-05 16:27,3.05135,0.05086,19.37,0.002396
2021-12-05 16:34,3.04871,0.05081,19.44,0.002396
2021-12-05 16:41,3.04605,0.05077,19.51,0.002396
2068-02-03 16:37,3.04599,0.05077,1.70,0.002392
2021-12-05 16:48,3.04338,0.05072,19.58,0.002396
2021-12-05 16:55,3.04069,0.05068,19.65,0.002396
2021-12-05 17:02,3.03798,0.05063,19.71,0.002396
2068-02-03 16:53,3.03632,0.05061,1.86,0.002392
2021-12-05 17:09,3.03526,0.05059,19.78,0.002396
2021-12-05 17:16,3.03252,0.05054,19.85,0.002396
2021-12-05 17:22,3.02977,0.05050,19.91,0.002396
2021-12-05 17:29,3.02701,0.05045,19.98,0.002397
2068-02-03 17:09,3.02629,0.05044,2.03,0.002392
2021-12-05 17:36,3.02422,0.05040,20.05,0.002397
2021-12-05 17:43,3.02143,0.05036,20.11,0.002397
2021-12-05 17:49,3.01861,0.05031,20.18,0.002397
2068-02-03 17:26,3.01587,0.05026,2.19,0.002392
2021-12-05 17:56,3.01579,0.05026,20.24,0.002397
2021-12-05 18:03,3.01295,0.05022,20.31,0.002397
2021-12-05 18:10,3.01009,0.05017,20.38,0.002397
1958-09-14 15:45,3.00949,0.05016,16.21,0.002403
2021-12-05 18:16,3.00722,0.05012,20.44,0.002397
2068-02-03 17:44,3.00503,0.05008,2.37,0.002392
2021-12-05 18:23,3.00434,0.05007,20.51,0.002397
2021-12-05 18:29,3.00144,0.05002,20.57,0.002397
2021-12-05 18:36,2.99853,0.04998,20.63,0.002397
2021-12-05 18:43,2.99561,0.04993,20.70,0.002397
2068-02-03 18:02,2.99375,0.04990,2.54,0.002392
2021-12-05 18:49,2.99267,0.04988,20.76,0.002397
2021-12-05 18:56,2.98972,0.04983,20.83,0.002398
2021-12-05 19:02,2.98675,0.04978,20.89,0.002398
2021-12-05 19:09,2.98378,0.04973,20.95,0.002398
2021-12-05 19:15,2.98079,0.04968,21.02,0.002398
2021-12-05 19:21,2.97779,0.04963,21.08,0.002398
2021-12-05 19:28,2.97477,0.04958,21.14,0.002398
2021-12-05 19:34,2.97174,0.04953,21.21,0.002398
2021-12-05 19:41,2.96871,0.04948,21.27,0.002398
2021-12-05 19:47,2.96565,0.04943,21.33,0.002398
2021-12-05 19:53,2.96259,0.04938,21.39,0.002398
2021-12-04 13:04,2.95974,0.04933,3.18,0.002385
2021-12-05 20:00,2.95952,0.04933,21.45,0.002398
2021-12-05 20:06,2.95643,0.04927,21.52,0.002398
2021-12-05 20:12,2.95333,0.04922,21.58,0.002399
2021-12-05 20:19,2.95022,0.04917,21.64,0.002399
2021-12-05 20:25,2.94710,0.04912,21.70,0.002399
2021-12-05 20:31,2.94397,0.04907,21.76,0.002399
2021-12-05 20:37,2.94082,0.04901,21.82,0.002399
2021-12-05 20:44,2.93767,0.04896,21.88,0.002399
2021-12-05 20:50,2.93450,0.04891,21.94,0.002399
2021-12-05 20:56,2.93132,0.04886,22.00,0.002399
2021-12-05 21:02,2.92814,0.04880,22.06,0.002399
2021-12-05 21:08,2.92494,0.04875,22.12,0.002399
2016-11-15 06:47,2.92324,0.04872,190.12,0.002388
2016-11-15 06:57,2.92323,0.04872,190.23,0.002388
2016-11-15 06:36,2.92315,0.04872,190.01,0.002387
2016-11-15 07:08,2.92314,0.04872,190.33,0.002388
2016-11-15 07:18,2.92297,0.04872,190.43,0.002388
2016-11-15 06:25,2.92297,0.04872,189.91,0.002387
2016-11-15 07:29,2.92271,0.04871,190.54,0.002388
2016-11-15 06:14,2.92270,0.04871,189.80,0.002387
2016-11-15 07:39,2.92237,0.04871,190.64,0.002388
2016-11-15 06:03,2.92234,0.04871,189.69,0.002387
2016-11-15 07:49,2.92195,0.04870,190.74,0.002388
2016-11-15 05:52,2.92187,0.04870,189.58,0.002387
2016-11-15 07:59,2.92145,0.04869,190.84,0.002388
2016-11-15 05:41,2.92130,0.04869,189.47,0.002387
2016-11-15 08:09,2.92087,0.04868,190.94,0.002388
2016-11-15 05:30,2.92063,0.04868,189.35,0.002387
2016-11-15 08:19,2.92023,0.04867,191.04,0.002388
2016-11-15 05:18,2.91986,0.04866,189.24,0.002387
2016-11-15 08:23,2.91952,0.04866,191.08,0.002388
2016-11-15 05:07,2.91897,0.04865,189.13,0.002387
2016-11-15 04:55,2.91797,0.04863,189.01,0.002387
2016-11-15 04:43,2.91685,0.04861,188.89,0.002387
2016-11-15 04:31,2.91562,0.04859,188.77,0.002387
2016-11-15 04:19,2.91426,0.04857,188.65,0.002386
2016-11-15 04:07,2.91278,0.04855,188.53,0.002386
2016-11-15 03:55,2.91116,0.04852,188.41,0.002386
